id	claim	source_url	source_locator	status
05-succession-demand	ABN AMRO's Ipsos I&O survey of 519 entrepreneurs found 68% expected to stop steering within ten years; among them 22% had not started succession and 20% searched without a successor.	https://assets.abnamro.com/api/public/content/sectorprognoses-abn-amro-bedrijfsopvolging-dec-2025.pdf	excerpts/05-succession-demand.txt — report introduction	checked-by:codex:2026-09-05
05-wholesale-age	ABN's CBS-based table counted 5,210 wholesale and trade-intermediation owners aged 65+, 15.7% of owners of firms with at least two working people.	https://assets.abnamro.com/api/public/content/sectorprognoses-abn-amro-bedrijfsopvolging-dec-2025.pdf	excerpts/05-wholesale-age.txt — p. 4, “Top 15 branches”	checked-by:codex:2026-09-05
05-marketplace	Brookz displayed 95 wholesale businesses for sale when checked.	https://www.brookz.nl/bedrijven-te-koop/groothandel	excerpts/05-marketplace.txt — page heading and first cards	checked-by:codex:2026-09-05
05-wholesale-margin	CBS table 81156 reported 2024 wholesale revenue of EUR 648.435bn and pre-tax result of EUR 34.481bn; the 5.3% ratio is arithmetic, with the table covering all firm sizes.	https://opendata.cbs.nl/ODataApi/odata/81156ned/TypedDataSet	excerpts/05-wholesale-margin.txt — 2024 row for SBI 46 plus method note	checked-by:codex:2026-09-05
05-language-gate	A2 Dutch is insufficient for the trust-heavy account, staff and exception work assumed by this acquisition; retaining a Dutch account owner is a design gate.	analysis of reader constraints and operating design	proposition-specific inference	inference
05-precedent-deal	Euston Ventures acquired Hammond Chemicals; Jim Ward became CEO and third-generation Hammond family members remained in leadership.	https://www.shawbrook.co.uk/business/news-case-studies/case-studies/euston-ventures-completes-acquisition-of-hammond-chemicals-with-support-from-shawbrook/	excerpts/05-precedent-deal.txt — “At a glance” and “Shawbrook supports acquisition”	checked-by:codex:2026-09-05
05-precedent-trace	Companies House lists Hammond Chemicals Limited as active, incorporated in 1969, with SIC 46750 wholesale of chemical products.	https://find-and-update.company-information.service.gov.uk/company/00964829	excerpts/05-precedent-trace.txt — company overview	checked-by:codex:2026-09-05
05-qredits-terms	Qredits publishes EUR 50k–250k, 9.95% annual interest, 1.5% fee, monthly linear or annuity payments, average five-year and maximum ten-year terms, and acquisition as an allowed use; approval follows individual assessment.	https://www.qredits.nl/zakelijk-krediet/mkb-krediet	excerpts/05-qredits-terms.txt — “Wat is een MKB Krediet” and “Beoordeling aanvraag”	checked-by:codex:2026-09-05
05-qredits-security	Qredits' currently linked MKB conditions say all business assets serve as collateral and directors of a legal-person borrower are asked to sign a guarantee for joint liability.	https://www.qredits.nl/media/1110/download/Algemene%20voorwaarden%20mkb%2014102021.pdf?v=1	excerpts/05-qredits-security.txt — pp. 1 and 3, articles 6.4 and 10–11	checked-by:codex:2026-09-05
05-bmkb	RVO defines a BMKB starter as operating under three years, gives a EUR 333,333 starter-loan ceiling and 67.5% state guarantee, and describes BMKB as enlarging collateral.	https://www.rvo.nl/subsidies-financiering/bmkb/voorwaarden	excerpts/05-bmkb.txt — “Starter en de BMKB” and “Borgstelling”	checked-by:codex:2026-09-05
05-public-record-limit	Public product terms do not establish approval, the personal-recourse cap in a specific offer or target-specific replacement-adjusted cash flow; those require a lender decision and target records.	analysis of Qredits, RVO, KVK and target-data requirements	evidence boundary	inference
05-seller-finance	KVK describes stacked acquisition finance, subordinated seller loans and an example financing a EUR 500k wholesaler with one-quarter equity, one-half bank debt and one-quarter seller debt repaid after bank debt.	https://www.kvk.nl/geldzaken/financiering-vinden-voor-bedrijfsovername/	excerpts/05-seller-finance.txt — “Achtergestelde lening” and example	checked-by:codex:2026-09-05
05-diligence	KVK says acquisition due diligence tests seller information, figures, contracts, employee hours and salaries, and valuation should consider whether customers will deal with the buyer.	https://www.kvk.nl/verkopen-en-overnemen/stappenplan-bedrijf-overnemen/	excerpts/05-diligence.txt — steps 5 and 6	checked-by:codex:2026-09-05
05-ai-line	AI can reduce clerical distribution work but does not remove physical receipt, inspection, fulfilment or relationship recovery.	operating-mechanism analysis	AI gate inference	inference
05-buyinside	BuyInside markets Dutch MBI candidate profiling, search, acquisition advice and a matching platform, and says it has focused on external succession for fifteen years.	https://buyinside.nl/	excerpts/05-buyinside.txt — home page, services and “Wie is BuyInside?”	checked-by:codex:2026-09-05
05-valuation	Brookz's H1-2026 survey covered 291 Dutch M&A advisers focused on EUR 0.5m–50m revenue firms; it reported 3.6x for EUR 200k normalised EBITDA, 19% of processes breaking over valuation gaps, and owner dependence and customer spread as valuation factors.	https://www.brookz.nl/barometer/h1-2026	excerpts/05-valuation.txt — findings, valuation gap	checked-by:codex:2026-09-05
